request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_208,3015814.29,affordable_later,wait,2024-06-14:4413000,2024-06-14,none,Pay IDR 4413000 in full on 2024-06-14. Paying earlier would risk the IDR 10470700 minimum.
request_209,2515.21,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 56914 request. None of the available options keeps the ZAR 18400 minimum protected.
request_210,1115.14,affordable_with_plan,installments,2026-04-06:471.48|2026-05-04:471.48|2026-06-01:471.48,2026-04-14,none,"Use 3 installments of USD 471.48, starting 2026-04-06."
request_211,265.15,affordable_later,wait,2024-09-14:1788.6,2024-09-14,none,Pay EUR 1788.6 in full on 2024-09-14. Paying earlier would risk the EUR 1500 minimum.
request_212,6499428.28,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 71934000 request. None of the available options keeps the IDR 29579800 minimum protected.
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Use 3 installments of USD 1165.63, starting 2026-01-21."
request_214,50514.26,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2024-12-16,none,"Use 2 installments of INR 36270, starting 2024-12-04."
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10395.15, starting 2025-05-09."
request_216,570.73,affordable_later,wait,2026-09-13:3332.4,2026-09-13,none,Pay USD 3332.4 in full on 2026-09-13. Paying earlier would risk the USD 1800 minimum.
request_217,19532.65,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,"Use 3 installments of ZAR 12889.07, starting 2024-03-19."
request_218,27745587.37,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-13,none,"Use 3 installments of IDR 21195893.33, starting 2025-08-07."
request_219,0,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1673.1 request. None of the available options keeps the EUR 1100 minimum protected.
request_220,74.93,not_affordable,not_recommended,none,2024-08-13,none,Do not proceed with the EUR 3118.5 request. None of the available options keeps the EUR 1100 minimum protected.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay INR 109800 today. This protects the INR 81500 minimum.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay ZAR 34078 today. This protects the ZAR 27300 minimum.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Pay EUR 898.7 today. This protects the EUR 800 minimum.
request_224,10077298.66,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-14,none,"Use 2 installments of IDR 5370040, starting 2025-02-04."
request_225,9636373.34,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-13,none,"Use 3 installments of IDR 7647120, starting 2026-07-20."
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Pay INR 157000 today. This protects the INR 209400 minimum.
request_227,11039.82,not_affordable,not_recommended,none,,none,Do not proceed with the INR 259700 request. None of the available options keeps the INR 62900 minimum protected.
request_228,0,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 63327000 request. None of the available options keeps the IDR 26191200 minimum protected.
request_229,467.34,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-18,none,"Use 3 installments of EUR 529.29, starting 2024-03-18."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,Pay EUR 3537.6 today. This protects the EUR 2000 minimum.
request_231,33667.74,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-15,none,"Use 3 installments of ZAR 12378.08, starting 2026-01-06."
request_232,0,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1970.1 request. None of the available options keeps the EUR 2400 minimum protected.
request_233,0,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 6241000 request. None of the available options keeps the IDR 10365700 minimum protected.
request_234,220.35,affordable_later,wait,2026-08-14:1213.3,2026-08-14,none,Pay EUR 1213.3 in full on 2026-08-14. Paying earlier would risk the EUR 700 minimum.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Pay USD 967.2 today. This protects the USD 700 minimum.
request_236,6757733.84,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 52383000 request. None of the available options keeps the IDR 16768600 minimum protected.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay IDR 23826000 today. This protects the IDR 22431500 minimum.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 2024-12-07."
request_239,0,not_affordable,not_recommended,none,,none,Do not proceed with the USD 642 request. None of the available options keeps the USD 600 minimum protected.
request_240,0,not_affordable,not_recommended,none,,none,Do not proceed with the INR 101200 request. None of the available options keeps the INR 52800 minimum protected.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7298026.67, starting 2024-03-17."
request_242,0,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1966.8 request. None of the available options keeps the EUR 600 minimum protected.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay ZAR 17468 today. This protects the ZAR 19900 minimum.
request_244,6781.48,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 49918 request. None of the available options keeps the ZAR 45900 minimum protected.
request_245,36308.95,affordable_later,wait,2026-01-13:128500,2026-01-13,none,Pay INR 128500 in full on 2026-01-13. Paying earlier would risk the INR 94600 minimum.
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22216.48, starting 2026-04-03."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,Pay EUR 1059.3 today. This protects the EUR 1300 minimum.
request_248,1134.62,affordable_with_plan,partial_payment,2025-02-07:1134.62|2025-02-20:830.98,2025-02-20,none,Pay USD 1134.62 today and the remaining USD 830.98 on 2025-02-20.
request_249,149.9,affordable_later,wait,2026-03-15:643.2,2026-03-15,none,Pay USD 643.2 in full on 2026-03-15. Paying earlier would risk the USD 600 minimum.
request_250,15480.52,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 124278 request. None of the available options keeps the ZAR 35300 minimum protected.
request_251,1513.6,not_affordable,not_recommended,none,2025-05-03,none,Do not proceed with the EUR 1513.6 request. None of the available options keeps the EUR 1300 minimum protected.
request_252,4714997.4,affordable_later,wait,2026-08-14:28082000,2026-08-14,none,Pay IDR 28082000 in full on 2026-08-14. Paying earlier would risk the IDR 15152200 minimum.
request_253,1371.56,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-05-18,none,"Use 3 installments of EUR 984.6, starting 2024-03-21."
request_254,1005.97,affordable_later,wait,2025-09-13:3535.2,2025-09-13,none,Pay USD 3535.2 in full on 2025-09-13. Paying earlier would risk the USD 2500 minimum.
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000 today. This protects the IDR 9813900 minimum.
request_256,0,not_affordable,not_recommended,none,,none,Do not proceed with the INR 218700 request. None of the available options keeps the INR 168600 minimum protected.
request_257,397.39,affordable_later,wait,2026-01-13:1352.4,2026-01-13,none,Pay USD 1352.4 in full on 2026-01-13. Paying earlier would risk the USD 1600 minimum.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,Pay USD 1113.6 today. This protects the USD 500 minimum.
request_259,454.88,affordable_later,wait,2024-10-14:935,2024-10-14,none,Pay EUR 935 in full on 2024-10-14. Paying earlier would risk the EUR 600 minimum.
request_260,8212581.13,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 52079000 request. None of the available options keeps the IDR 20727700 minimum protected.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,Pay EUR 1830.4 today. This protects the EUR 1500 minimum.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay IDR 9236000 today. This protects the IDR 31018500 minimum.
request_263,7035.94,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 51546 request. None of the available options keeps the ZAR 24100 minimum protected.
request_264,27291.46,affordable_later,wait,2026-05-14:111300,2026-05-14,none,Pay INR 111300 in full on 2026-05-14. Paying earlier would risk the INR 59500 minimum.
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Pay INR 45970 today. This protects the INR 189700 minimum.
request_266,935,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,"Use 3 installments of EUR 324.13, starting 2025-08-03."
request_267,1711.94,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-14,none,"Use 3 installments of EUR 667.33, starting 2026-01-08."
request_268,1046.91,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-14,none,"Use 3 installments of EUR 841.22, starting 2024-06-14."
request_269,0,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 15490 request. None of the available options keeps the ZAR 23100 minimum protected.
request_270,165.23,not_affordable,not_recommended,none,2026-08-24,none,Do not proceed with the USD 3028.8 request. None of the available options keeps the USD 1400 minimum protected.
request_271,7148.76,not_affordable,not_recommended,none,2024-11-18,none,Do not proceed with the INR 91300 request. None of the available options keeps the INR 58200 minimum protected.
request_272,6451944.23,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-02-14,none,"Use 3 installments of IDR 4709466.67, starting 2025-02-12."
request_273,10764260.96,affordable_with_plan,installments,2026-04-07:5498480|2026-05-05:5498480|2026-06-02:5498480,2026-04-14,none,"Use 3 installments of IDR 5498480, starting 2026-04-07."
request_274,2244.56,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-16,none,"Use 3 installments of EUR 940.75, starting 2024-12-04."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 today. This protects the IDR 12760100 minimum.
